下列哪一項不是國稅或地方稅?,綜所稅,土增稅,營業稅,營所稅,燃料費
牌照稅單每張可歸戶幾台車?,5張,6張,7張,8張,5張
多少CC以上機車需要繳納牌照稅嗎?,125,150,100,50,125
房屋稅幾月開徵?,1月,2月,3月,4月,5月
房屋稅納稅義務基準日?,2月末日,4月末日,6月末日,8月末日,2月末日
房屋稅自用住宅申請期限?,3月22日,5月22日,7月22日,9月22日,3月22日
使用牌照稅幾月開徵?,2月,3月,4月,11月,4月
地價稅納稅義務基準日?,2月28日,4月30日,6月30日,8月31日,8月31日
地價稅自用住宅申請期間?,3月22日,5月22日,7月22日,9月22日,9月22日
買賣土地要繳什麼稅呢？,綜所稅,土增稅,營業稅,營所稅,土增稅
滯納金每逾幾日加徵1%?,1日,2日,3日,4日,3日
超商可繳多少萬元以下的稅單?,1萬,2萬,3萬,4萬,3萬
統一發票每幾個月開獎一次?,1個月,2個月,3個月,4個月,2個月
 如有稅捐爭議可以找誰尋問幫忙?,納保官,消保官,法官,九品芝麻官,納保官
使用統一發票兌獎APP的好處?,中獎主動通知,自動對獎,避免發票遺失,以上皆是,以上皆是
